trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
305,False,"{'a': 0.01, 'e': 0.047358924391140915}",20,6,24.101280059423186,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
306,False,"{'a': 0.01, 'e': 0.046887695219988486}",20,0,29.49491606005131,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
307,False,"{'a': 0.01, 'e': 0.04642115485743125}",30,15,21.75546102548902,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
308,False,"{'a': 0.01, 'e': 0.045959256649044204}",20,0,15.459066903284132,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
309,False,"{'a': 0.01, 'e': 0.04550195440462157}",35,20,27.079163956970923,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
310,False,"{'a': 0.01, 'e': 0.0450492023935578}",25,0,-8.832696129283214,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
311,False,"{'a': 0.01, 'e': 0.044600955340274535}",20,0,25.748505599276427,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
312,False,"{'a': 0.01, 'e': 0.04415716841969287}",20,6,22.91727908647865,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
313,False,"{'a': 0.01, 'e': 0.04371779725275094}",30,15,24.122431851967942,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
314,False,"{'a': 0.01, 'e': 0.043282797901965896}",20,16,6.4417481674740555,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
315,False,"{'a': 0.01, 'e': 0.04285212686704019}",20,10,-2.9517525421743205,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
316,False,"{'a': 0.01, 'e': 0.042425741080511385}",25,3,29.780384453345,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
317,False,"{'a': 0.01, 'e': 0.04200359790344555}",25,0,28.08944601890309,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
318,False,"{'a': 0.01, 'e': 0.04158565512117317}",25,0,21.866213576447862,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
319,False,"{'a': 0.01, 'e': 0.04117187093906774}",20,0,22.295313786414567,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
320,False,"{'a': 0.01, 'e': 0.04076220397836621}",20,0,17.781104051295042,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
321,False,"{'a': 0.01, 'e': 0.040356613272031154}",25,14,15.567531211276838,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
322,False,"{'a': 0.01, 'e': 0.039955058260653896}",25,18,8.126420342856022,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
323,False,"{'a': 0.01, 'e': 0.039557498788398725}",35,7,5.482172308725239,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 1}",1
